shortnam,longname,logmort0,risk,loggdp,logmortcap250,latitude,africa,asia,neoeuro,edes1975,malfal94,campaign,slave,mortality_per1000,region,gdp_pcap_1995,loggdp_1995,gdp_pcap_2005,loggdp_2005,gdp_pcap_2015,loggdp_2015,gdp_pcap_2023,loggdp_2023,trade_openness,life_expectancy,pop_density,fdi_pct_gdp,school_enrollment_sec,gdp_growth_1995_2005,gdp_growth_1995_2015,gdp_growth_1995_2023,log_trade,log_pop_density,hci,govt_effectiveness,logmortjam,logmortjam250,logmortnaval1,logmortnaval1250,logmortnaval2,logmortnaval2250
GIN,Guinea,6.180016,6.55,7.49,5.521461,0.1222,1.0,0.0,0,0.0,0.95,1,0,483.0,Africa,2171.72552153265,7.683277301766574,2501.22160456279,7.824534533334869,2869.85157178732,7.962015590269014,3904.82395527998,8.269967979383043,97.7778177313259,60.904,58.6255412664822,5.60537419672253,,0.3345345333348684,0.4720155902690139,0.7799679793830432,4.582697738751782,4.071170459414351,0.37094247341156,-0.8881627,6.1800165,5.521461,6.1800165,5.521461,6.1800165,5.521461
GUY,Guyana,3.471345,5.89,7.9,3.471345,0.0556,0.0,0.0,0,2.0,0.49503,0,0,32.2,Americas/Other,7071.21280005947,8.86378728591303,8256.52519071138,9.01875909891412,12040.08253302,9.39599657374131,49312.3603225444,10.805930045088289,,70.319,3.91376811594203,34.9900654897849,91.4304496450171,1.1187590989141185,1.4959965737413103,2.9059300450882866,,1.364500622441641,0.4952264726161957,-0.0982402,3.4713452,3.4713452,3.4713452,3.4713452,3.4713452,3.4713452
HTI,Haiti,4.867535,3.73,7.15,4.867535,0.2111,0.0,0.0,0,0.0,1.0,0,0,130.0,Americas/Other,3167.91307649838,8.060828314583892,3173.26081032717,8.06251498496765,3433.07529240973,8.141211725174584,2965.94622340134,7.9949513915157535,18.6547617785224,65.119,422.256821480406,0.0824597396111034,,0.9125149849676504,0.9912117251745832,0.8449513915157532,2.9261014367455607,6.045613710632387,0.4465649127960205,-2.0156868,4.8675346,4.8675346,4.8675346,4.8675346,4.8675346,4.8675346
HND,Honduras,4.35799,5.32,7.69,4.35799,0.1667,0.0,0.0,0,20.0,0.012,1,0,78.1,Americas/Other,2555.02622819382,7.84581776802301,5056.67544412551,8.528464519492113,5812.5348879105,8.66777205209876,6467.8800352783,8.774603673103579,91.6694117874122,73.044,95.1367503798373,1.29157460831069,51.7639813154374,0.8384645194921125,0.9777720520987598,1.0846036731035786,4.518188755321836,4.555315334228212,0.4810231328010559,-0.6196728,4.130355,4.130355,,,4.535284,4.535284
HKG,Hong Kong,2.701361,8.14,10.05,2.701361,0.2461,0.0,1.0,0,0.0,0.0,0,0,14.9,Asia,37905.6509352086,10.542855481148878,47938.8998017111,10.77768255824049,62779.7484353718,11.047387823305591,64434.5576690871,11.07340537793734,359.390663042179,85.3926829268293,7177.2380952381,30.8106332188954,107.160326941213,0.72768255824049,0.9973878233055924,1.0234053779373404,5.884409994719222,8.878669921637792,0.8127565383911133,1.6374532,2.7013612,2.7013612,2.7013612,2.7013612,2.7013612,2.7013612
IND,India,3.884241,8.27,7.33,3.884241,0.2222,0.0,1.0,0,0.0,0.23596,0,0,48.6,Asia,2542.42211133345,7.840872492776355,3881.9661798273,8.264097051642397,6488.14602910787,8.777732103110989,9301.75603225735,9.1379584819898,45.9166907678748,72.235,483.679010086809,0.721648483526777,78.1058073224606,0.9340970516423964,1.4477321031109884,1.8079584819898,3.826828684254972,6.1814214844007225,0.493510901927948,0.4046051,3.8842406,3.8842406,3.8842406,3.8842406,3.8842406,3.8842406
IDN,Indonesia,5.135798,7.59,7.33,5.135798,0.0556,0.0,1.0,0,0.0,0.17873,1,0,170.0,Asia,6312.93453561158,8.750355908539042,7140.8545640704,8.873587735016326,10893.6621142169,9.295936441694025,13889.9749067297,9.538922629175822,42.809937870822,71.288,148.57692229227,1.73855290316368,98.836444459078,1.5435877350163256,1.9659364416940228,2.208922629175822,3.7567702688785767,5.001102819363676,0.5400384664535522,0.179804,5.1357985,5.1357985,5.1357985,5.1357985,5.1357985,5.1357985
JAM,Jamaica,4.867535,7.09,8.19,4.867535,0.2017,0.0,0.0,0,10.0,0.0,0,0,130.0,Americas/Other,10257.8065381959,9.235794308168709,10278.6834382546,9.237827460598773,9931.89875715182,9.203506952974797,11398.8120394641,9.3412644218881,,71.606,262.214773776547,1.38581611857042,84.4572372436523,1.0478274605987714,1.0135069529747955,1.1512644218881007,,5.569163915190565,0.534977912902832,0.1712622,4.8675346,4.8675346,4.8675346,4.8675346,4.8675346,4.8675346
KEN,Kenya,4.976734,6.05,7.06,4.976734,0.0111,1.0,0.0,0,0.0,0.798,0,1,145.0,Africa,3890.0985511465,8.26618977077654,3844.73557120578,8.254460107456701,4679.62182831938,8.450972579732056,5691.82513474417,8.646786237505259,40.0062529666939,63.834,95.2681371231706,0.384924569449646,,1.1944601074567016,1.390972579732057,1.586786237505259,3.689035766063935,4.556695411871279,0.5467525124549866,-0.2978904,4.9767337,4.9767337,4.9767337,4.9767337,4.9767337,4.9767337
MDG,Madagascar,6.284209,4.45,6.84,5.521461,0.2222,1.0,0.0,0,0.0,0.95,1,0,536.0,Africa,1661.27062467061,7.415338025101996,1648.17631554009,7.407424692331659,1627.5806134224,7.394849904912826,1629.46097248642,7.396004547384119,57.5370213293734,63.835,53.6196837401169,3.44577112659577,,0.5674246923316595,0.5548499049128264,0.5560045473841191,4.052428589827823,3.981916234620275,0.3919910192489624,-0.8631928,6.284209,5.521461,6.284209,5.521461,6.284209,5.521461
MYS,Malaysia,2.873565,7.95,8.89,2.873565,0.0256,0.0,1.0,0,0.0,0.23331,0,0,17.7,Asia,16568.5160590209,9.715259550527374,20767.5857243346,9.941148671516654,27699.6278860387,10.229174258368182,32857.6676600774,10.399940410985687,137.362571161559,76.821,106.913096941105,3.6930953933026,80.2757406864183,1.0511486715166534,1.3391742583681818,1.5099404109856884,4.922623934829576,4.6720163263460535,0.6109761595726013,0.9147725,2.8735647,2.8735647,2.8735647,2.8735647,2.8735647,2.8735647
MLI,Mali,7.986165,4.0,6.57,5.521461,0.1889,1.0,0.0,0,0.0,0.9405,1,0,2940.0,Africa,2022.4037826787,7.61204207434176,2546.33281406377,7.842409490944876,2686.56065074588,7.896017086033853,2860.42819002278,7.958726609398639,49.7664846904175,60.675,19.4798572353486,3.44170555566452,,1.2724094909448755,1.3260170860338532,1.3887266093986392,3.907341759281284,2.969380969406661,0.3182695806026459,-1.2871409,7.986165,5.521461,7.986165,5.521461,7.986165,5.521461
MLT,Malta,2.791165,7.23,9.43,2.791165,0.3944,0.0,0.0,0,100.0,,0,0,16.3,Americas/Other,22310.9631982103,10.012833459879229,32775.7490182242,10.397444161710942,46170.1721772127,10.740089244695136,60418.3949311068,11.009048889395926,217.730272683658,82.9560975609756,1727.334375,170.053519530959,,0.967444161710942,1.3100892446951369,1.579048889395926,5.3832570154570405,7.454334675502779,0.7092483043670654,0.6224959999999999,2.791165,2.791165,2.791165,2.791165,2.791165,2.791165
MEX,Mexico,4.26268,7.5,8.94,4.26268,0.2556,0.0,0.0,0,15.000001,0.00042,1,0,71.0,Americas/Other,17028.1215003697,9.742621462250852,20277.2552818503,9.91725510741404,21408.9283201493,9.971563325223473,21917.24858366,9.995029212365123,75.4259015415068,75.264,66.7402757272564,2.48429388161511,103.093322753906,0.97725510741404,1.0315633252234715,1.055029212365124,4.323150737794464,4.200808604679039,0.6129498481750488,-0.2199329,4.26268,4.26268,4.26268,4.26268,4.26268,4.26268
MAR,Morocco,4.35927,7.09,8.04,4.35927,0.3556,1.0,0.0,0,1.0,0.0,1,0,78.2,Africa,4444.228515625,8.39936157059524,6103.42236328125,8.71660493599639,8198.80859375,9.011744129251108,8915.3515625,9.095529964460814,92.1872446062404,75.493,84.5003473000224,1.08850441035779,89.9834863018408,0.6766049359963908,0.9717441292511086,1.0555299644608152,4.523821776157316,4.436755644414118,0.5041163563728333,0.1763558999999999,4.3592696,4.3592696,4.3592696,4.3592696,4.3592696,4.3592696
NZL,New Zealand,2.145931,9.73,9.76,2.145931,0.4556,0.0,0.0,1,91.7,0.0,0,0,8.5,Neo-Europe,32584.6549851439,10.391596750560783,40848.2981387428,10.61762043819001,44963.8339159182,10.713613754862523,49508.2697230172,10.809894999714418,50.6607664427853,82.009756097561,19.7485853176864,0.672983751329456,114.231056213379,0.8576204381900094,0.9536137548625234,1.049894999714418,3.925151773609999,2.983081859297384,0.7759324312210083,1.8491848,2.1459312,2.1459312,2.1459312,2.1459312,2.1459312,2.1459312
NIC,Nicaragua,5.095589,5.23,7.54,5.095589,0.1444,0.0,0.0,0,20.0,0.044,1,0,163.3,Americas/Other,4130.28612675871,8.326101963642179,5356.95850970538,8.586151650789436,6939.03286207731,8.844917686740375,7496.5292687685,8.92219542825182,99.146065089948,75.1,56.702783779292,6.86575238184716,,1.0461516507894355,1.3049176867403751,1.38219542825182,4.596594167743058,4.037823306165049,0.5080982446670532,-1.0529768,4.8675346,4.8675346,,,4.535284,4.535284
NER,Niger,5.991465,5.0,6.73,5.521461,0.1778,1.0,0.0,0,0.0,0.9405,1,0,400.0,Africa,1280.3354211914,7.154877370390915,1233.87551052205,7.117915316493047,1471.66135329224,7.294147213916484,1689.56425367067,7.4322259366064785,24.388946208843,61.433,20.6519831057077,1.81493836603542,19.8664761204349,0.3879153164930464,0.5641472139164838,0.702225936606478,3.194130005424933,3.0278113489707628,0.3156851828098297,-0.7696662,5.9914646,5.521461,5.9914646,5.521461,5.9914646,5.521461
NGA,Nigeria,7.6029,5.55,6.81,5.521461,0.1111,1.0,0.0,0,0.0,0.95,1,0,2004.0,Africa,4797.51152154868,8.475852629452433,6496.93228200091,8.779085387861906,8892.05798706748,9.092913796325472,7843.83461990405,8.967483103450942,,54.635,250.20910328623,0.639824358730627,,1.9690853878619068,2.282913796325473,2.157483103450942,,5.522296981408617,0.3606098294258117,-1.0065889,7.6029005,5.521461,7.6029005,5.521461,7.6029005,5.521461
PAK,Pakistan,3.610648,6.05,7.35,3.610648,0.3333,0.0,1.0,0,0.0,0.53757,1,0,37.0,Asia,3462.47336165841,8.149738457082147,4042.15457513378,8.304533139472277,4645.28631071145,8.443608287822306,5418.7693189297,8.597624005722903,27.5653309105795,67.799,321.067474833956,0.716885239403099,48.2805022055997,0.9545331394722768,1.093608287822306,1.247624005722903,3.316558856706739,5.771651303015617,0.4060700237751007,-0.6003273,3.6106477,3.6106477,3.6106477,3.6106477,3.6106477,3.6106477
PAN,Panama,5.095589,5.91,8.84,5.095589,0.1,0.0,0.0,0,20.0,0.08004,1,0,163.3,Americas/Other,12086.6434128166,9.399856271713062,16867.960935567,9.73317129897374,29933.1555965973,10.30672202785168,35872.9506479276,10.487738826633796,83.6737788620216,79.775,60.1072930709086,2.41063281860388,,0.8931712989737406,1.466722027851679,1.6477388266337964,4.426925653169826,4.096131183112563,0.5016019940376282,0.2451471999999999,4.8675346,4.8675346,2.712706,2.712706,3.4177268,3.4177268
PRY,Paraguay,4.35799,6.95,8.21,4.35799,0.2556,0.0,0.0,0,25.0,0.0,1,0,78.1,Americas/Other,10908.2726627911,9.297276740241912,10290.100822296,9.238937626865226,14427.6002349811,9.57689833405578,15826.087501295,9.669414965112214,77.0944384539197,73.982,17.282671943072,2.45295029321833,79.1305613911018,1.0289376268652255,1.3668983340557777,1.459414965112213,4.345031143777082,2.849704377757676,0.5281800627708435,-0.3545101,4.130355,4.130355,,,4.535284,4.535284
PER,Peru,4.26268,5.77,8.4,4.26268,0.1111,0.0,0.0,0,30.000002,0.0005,1,0,71.0,Americas/Other,7372.04245454078,8.905450077663634,8949.95442691077,9.09940371929066,14542.7930911313,9.584850829690906,15327.5819994558,9.637409229448387,51.6811479870417,77.941,26.44188828125,2.29780708272736,108.289047241211,0.6994037192906593,1.1848508296909053,1.2374092294483887,3.945093072599183,3.274949430029815,0.6051926612854004,-0.2004128,4.0342407,4.0342407,2.712706,2.712706,3.4177268,3.4177268
SEN,Senegal,5.103883,6.0,7.4,5.103883,0.1556,1.0,0.0,0,0.0,0.95,0,0,164.7,Africa,2835.03272874496,7.949808760626065,3301.82076160815,8.102229341240609,3593.79477120389,8.186963962542185,4304.76148720232,8.367477011657378,68.2363510312865,68.924,93.8948371682335,6.26804204995863,,0.7022293412406082,0.7869639625421847,0.967477011657378,4.22297742917585,4.542175402468704,0.4201107919216156,0.2344127,5.103883,5.103883,5.103883,5.103883,5.103883,5.103883
SLE,Sierra Leone,6.180016,5.82,6.25,5.521461,0.0922,1.0,0.0,0,0.0,0.95,1,0,483.0,Africa,2058.07683318146,7.629527249604517,2296.65767887048,7.739210161922857,2628.17058146385,7.874043286730807,3034.94608285625,8.017948938214298,40.5454450723139,61.964,117.214075921308,1.74699628470852,,1.4892101619228573,1.6240432867308074,1.767948938214298,3.702423445579184,4.764001971648924,0.3627021014690399,-0.9671017,6.1800165,5.521461,6.1800165,5.521461,6.1800165,5.521461
